State,County Name,FIPS State,FIPS County
Alabama,Bibb,01,007
Alabama,Cherokee,01,019
Alabama,Cleburne,01,029
Alabama,Conecuh,01,035
Alabama,Coosa,01,037
Alabama,Covington,01,039
Alabama,Dale,01,045
Alabama,Fayette,01,057
Alabama,Franklin,01,059
Alabama,Geneva,01,061
Alabama,Greene,01,063
Alabama,Lamar,01,075
Alabama,Macon,01,087
Alabama,Marengo,01,091
Alabama,Monroe,01,099
Alabama,Sumter,01,119
Alabama,Washington,01,129
Alabama,Winston,01,133
Arizona,Greenlee,04,011
Arizona,La Paz,04,012
Arkansas,Ashley,05,003
Arkansas,Baxter,05,005
Arkansas,Calhoun,05,013
Arkansas,Chicot,05,017
Arkansas,Clark,05,019
Arkansas,Clay,05,021
Arkansas,Cleburne,05,023
Arkansas,Cleveland,05,025
Arkansas,Crawford,05,033
Arkansas,Cross,05,037
Arkansas,Dallas,05,039
Arkansas,Drew,05,043
Arkansas,Franklin,05,047
Arkansas,Fulton,05,049
Arkansas,Grant,05,053
Arkansas,Howard,05,061
Arkansas,Independence,05,063
Arkansas,Izard,05,065
Arkansas,Jackson,05,067
Arkansas,Jefferson,05,069
Arkansas,Johnson,05,071
Arkansas,Lawrence,05,075
Arkansas,Lee,05,077
Arkansas,Lincoln,05,079
Arkansas,Little River,05,081
Arkansas,Madison,05,087
Arkansas,Marion,05,089
Arkansas,Monroe,05,095
Arkansas,Nevada,05,099
Arkansas,Newton,05,101
Arkansas,Perry,05,105
Arkansas,Poinsett,05,111
Arkansas,Polk,05,113
Arkansas,Prairie,05,117
Arkansas,Scott,05,127
Arkansas,Searcy,05,129
Arkansas,Sharp,05,135
Arkansas,Stone,05,137
Arkansas,Van Buren,05,141
Arkansas,Woodruff,05,147
Arkansas,Yell,05,149
California,Alpine,06,003
California,Calaveras,06,009
California,Colusa,06,011
California,Del Norte,06,015
California,Mono,06,051
California,Sierra,06,091
California,Trinity,06,105
Colorado,Baca,08,009
Colorado,Bent,08,011
Colorado,Cheyenne,08,017
Colorado,Clear Creek,08,019
Colorado,Conejos,08,021
Colorado,Costilla,08,023
